model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses interest in collaboration, making it more engaging and likely to elicit",hookcat,per-019,temporal,149,149
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to collaboration, making it more likely to engage the recipient t",hookcat,per-019,temporal,149,149
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, publications, and achievements, creating a sense of genuine interest and rapport that a gene",hookcat,per-019,temporal,149,149
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly requests collaboration, making it more engaging and likely to elicit a positive ",hookcat,per-019,temporal,149,149
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine interest by referencing specific work and achievements of the recipient, and directly seeks collaboration, making it more li",hookcat,per-019,temporal,149,149
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and achievements, creating a genuine connection that makes the collaboration request feel ta",hookcat,per-019,temporal,149,149
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and expresses a clear, specific interest in collaboration, which is more likely to engage the rec",hookcat,per-019,static,128,128
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific project, funding, and teaching, showing genuine interest and effort, whereas Email 2 is a generic",hookcat,per-019,static,128,128
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (named project, funding source, institution, and teaching activities), which builds credibil",hookcat,per-019,static,128,128
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compellin",hookcat,per-019,static,128,128
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, shows specific knowledge of the recipient's work, and appeals to their expertise and achievements, making the request feel genuine and targeted.",hookcat,per-019,static,128,128
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized research into the recipient's specific work, funding, and institutional context, making the outreach feel genuine and targeted rather th",hookcat,per-019,static,128,128
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly expresses interest in collaboration, which is likely to engage the recipien",hookcat,per-019,static,128,128
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific project, funding, and teaching, showing genuine interest and effort, whereas Email 2 is a generic",hookcat,per-019,static,128,128
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (mentioning the AI-driven threat detection project, Swedish Research Council funding, and St",hookcat,per-019,static,128,128
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration or guidance, making it more likely",hookcat,per-020,temporal,124,124
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and makes a clear, respectful request for guidance, which is more likely to e",hookcat,per-020,temporal,124,124
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient, demonstrating specific knowledge of their work and creating a genuine connection that motivates a response, whereas Email",hookcat,per-020,temporal,124,124
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific request for engagement, making it more likely to elicit a po",hookcat,per-020,temporal,124,124
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work by the recipient, and appeals to their expertise, making it more likely to engage them than the generic call for submiss",hookcat,per-020,temporal,124,124
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, demonstrating genuine familiarity and creating a sense of flattery and connection that motivates",hookcat,per-020,temporal,124,124
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in engaging with the recipient, whereas Email 2 is ",hookcat,per-020,temporal,124,124
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine engagement with the recipient's specific work, and makes a direct, respectful request for guidance, whereas Email 2 is a gen",hookcat,per-020,temporal,124,124
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific references to the recipient's work, creating a genuine connection and clear motivation for a response, whereas Email 2 is a generic ",hookcat,per-020,temporal,124,124
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a specific collaborative opportunity, whereas Email 2 is a generic invitation with less p",hookcat,per-020,static,113,113
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the appeal by acknowledging the recipient's specific achievements and mentorship, which builds rapport and shows genuine interest, whereas Email 2 is",hookcat,per-020,static,113,113
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, institution, and recent achievements, which builds rapport and credibility, whereas Email 2 ",hookcat,per-020,static,113,113
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it clearly states the purpose, emphasizes the recipient's expertise, and provides a direct call to action, making it easier for the recipient to respond positively.",hookcat,per-020,static,113,113
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific achievements and expresses genuine interest in collaboration, which is more likely to engage the ",hookcat,per-020,static,113,113
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, institution, and achievements, which builds rapport and credibility, whereas Email 1 is a ge",hookcat,per-020,static,113,113
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and clearly expresses a collaborative intent, whereas Email 2 is a generic invitation lacking personal",hookcat,per-020,static,113,113
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by acknowledging the recipient's specific achievements and mentorship, which builds rapport and shows genuine interest, whereas Email 2 i",hookcat,per-020,static,113,113
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, achievements, and institutional affiliation, which builds rapport and credibility, whereas E",hookcat,per-020,static,113,113
gpt-4.1-mini,1,False,B,4,"Email 2 clearly states a specific request with benefits for the recipient, making it more direct and actionable, whereas Email 1 is incomplete and less focused on a clear call to action.",hookcat,per-021,temporal,124,124
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing the recipient's specific work and achievements, demonstrating genuine interest and building rapport, whereas Email 2 is a ",hookcat,per-021,temporal,124,124
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, collaborators, and conference presentations, creating a personalized appeal that makes the re",hookcat,per-021,temporal,124,124
gpt-4.1-mini,2,True,B,4,"Email 1 clearly states a specific request with benefits for the recipient and the community, making it a direct and persuasive call to action, whereas Email 2 is incomplete and less focused on a clear",hookcat,per-021,temporal,124,124
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the request by referencing the recipient's specific work and achievements, demonstrating genuine interest and building rapport, whereas Email 1 is a ",hookcat,per-021,temporal,124,124
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, publications, and achievements, creating a sense of genuine engagement and flattery that mak",hookcat,per-021,temporal,124,124
gpt-4.1-mini,3,False,B,4,"Email 2 clearly states a specific request with benefits for the recipient, making it more direct and actionable, whereas Email 1 is incomplete and less focused on a clear call to action.",hookcat,per-021,temporal,124,124
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing the recipient's specific work and achievements, demonstrating genuine interest and building rapport, whereas Email 2 is a ",hookcat,per-021,temporal,124,124
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborations, which builds credibility and rapport, whereas Email 2 is ",hookcat,per-021,temporal,124,124
gpt-4.1-mini,1,False,B,4,"Email 2 clearly presents a specific opportunity for the recipient to contribute their expertise as a mentor, emphasizing the impact and benefits, which is more likely to motivate engagement than Email",hookcat,per-021,static,140,140
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute their expertise as a mentor, which directly appeals to their professional identity and desi",hookcat,per-021,static,140,140
claude-sonnet-4-6,1,False,B,3,"Email 2 is more persuasive because it appeals to the recipient's sense of professional identity and altruism by framing the request as an opportunity to make a meaningful impact, whereas Email 1, whil",hookcat,per-021,static,140,140
gpt-4.1-mini,2,True,B,4,"Email 1 clearly articulates the purpose, benefits, and call to action for serving as a mentor, making it a more direct and compelling invitation compared to Email 2's more tentative inquiry.",hookcat,per-021,static,140,140
deepseek-chat,2,True,B,4,"Email 1 directly invites the recipient to take on a meaningful role as a mentor, which is more likely to elicit a positive response due to its clear call to action and appeal to the recipient's expert",hookcat,per-021,static,140,140
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized to a specific recipient (Dr. MacDonald) with concrete details about their institution and work, which creates a stronger sense of genuine interest",hookcat,per-021,static,140,140
gpt-4.1-mini,3,False,B,4,"Email 2 clearly articulates a specific opportunity with benefits and a call to action, making it more compelling and persuasive than the more general inquiry in Email 1.",hookcat,per-021,static,140,140
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute their expertise and make a tangible impact, which is more compelling than a general request",hookcat,per-021,static,140,140
claude-sonnet-4-6,3,False,B,3,"Email 2 is more persuasive because it frames the request as an opportunity for the recipient to make a meaningful impact and contribute their expertise, appealing to their professional identity and al",hookcat,per-021,static,140,140
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it clearly states a specific request, highlights the recipient's expertise, and emphasizes the mutual benefits of participation, whereas Email 1 is incomplete and la",hookcat,per-022,temporal,118,118
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it directly appeals to the recipient's expertise and offers a clear, actionable opportunity with a specific benefit, whereas Email 1 is overly complimentary and vagu",hookcat,per-022,temporal,118,118
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing particular papers, co-authors, and conference appearances), which builds credibility",hookcat,per-022,temporal,118,118
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it clearly states the purpose, highlights the recipient's expertise, explains the benefits of participation, and includes a polite call to action, whereas Email 2 is",hookcat,per-022,temporal,118,118
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and making the recipient feel valued, where",hookcat,per-022,temporal,118,118
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, names collaborators, and references concrete achievements, making the outreach feel personali",hookcat,per-022,temporal,118,118
gpt-4.1-mini,3,False,B,4,"Email 2 clearly communicates a specific request with benefits for the recipient, making it more direct and actionable, while Email 1 is incomplete and less focused on persuasion.",hookcat,per-022,temporal,118,118
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it directly appeals to the recipient's expertise and offers a clear, actionable opportunity with mutual benefits, whereas Email 1 is vague and incomplete, lacking a ",hookcat,per-022,temporal,118,118
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing particular papers, co-authors, and conference appearances), which builds credibility",hookcat,per-022,temporal,118,118
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific collaborative interest, whereas Email 2 is a general call for su",hookcat,per-022,static,124,124
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly proposes a collaborative opportunity, whereas Email 2 is a generic",hookcat,per-022,static,124,124
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, awards, and research interests, creating a tailored appeal that makes the recipient feel valued ",hookcat,per-022,static,124,124
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and clearly expresses a specific interest in collaboration, making it more engaging and likely to elic",hookcat,per-022,static,124,124
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly proposes a collaborative opportunity that aligns with the recipien",hookcat,per-022,static,124,124
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, demonstrates genuine knowledge of their achievements, and makes a targeted, relevant request, wh",hookcat,per-022,static,124,124
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific collaborative interest, whereas Email 2 is a general call for su",hookcat,per-022,static,124,124
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly proposes a collaborative opportunity, whereas Email 2 is a generic",hookcat,per-022,static,124,124
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, awards, and research interests, making it more compelling and relevant to the individual reader ",hookcat,per-022,static,124,124
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and expresses a personalized interest in collaboration, which is more likely to engage the recipient than ",hookcat,per-023,temporal,151,151
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work and expertise, making the request for collaboration feel personalized and sincere, whereas Emai",hookcat,per-023,temporal,151,151
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper and conference presentation), which establishes credibility and g",hookcat,per-023,temporal,151,151
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compe",hookcat,per-023,temporal,151,151
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to their expertise, making the request feel genuine and targeted ",hookcat,per-023,temporal,151,151
claude-sonnet-4-6,2,True,A,5,"Email 2 is more persuasive because it is personalized with specific references to the recipient's actual work and conference presentation, demonstrating genuine familiarity and interest, whereas Email",hookcat,per-023,temporal,151,151
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compe",hookcat,per-023,temporal,151,151
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work and expertise, creating a personalized and respectful appeal for collaboration, whereas Email 2",hookcat,per-023,temporal,151,151
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper and conference presentation), which establishes credibility and g",hookcat,per-023,temporal,151,151
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and clearly expresses a mutual research interest, making the request fo",hookcat,per-023,static,170,170
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it offers a concrete, actionable opportunity for the recipient to contribute their expertise as a mentor, which is more compelling than Email 1's vague request for a",hookcat,per-023,static,170,170
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it uses personalized flattery and specific references to the recipient's work, institution, and career history, which creates a stronger sense of individual appeal c",hookcat,per-023,static,170,170
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and clearly proposes a mutually beneficial collaboration, making it mor",hookcat,per-023,static,170,170
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the request by specifically acknowledging the recipient's achievements and expertise, which creates a stronger sense of relevance and respect, wherea",hookcat,per-023,static,170,170
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it personalizes the message with specific details about the recipient's work, institution, and achievements, making the appeal feel genuine and tailored rather than ",hookcat,per-023,static,170,170
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, which is more likely to engag",hookcat,per-023,static,170,170
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a concrete, actionable opportunity for the recipient to contribute their expertise in a structured and impactful way, whereas Email 1 is a vague request fo",hookcat,per-023,static,170,170
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it uses personalized flattery and specific references to the recipient's work, institution, and background, creating a stronger sense of individual recognition and r",hookcat,per-023,static,170,170
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, which is more likely to engage th",hookcat,per-024,temporal,155,155
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, referencing specific research and achievements of the recipient, which builds rapport and demonstrates genuine interest, whereas Email 2 is a gen",hookcat,per-024,temporal,155,155
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a direct, targeted appeal that creates a sense of individual connection, making the r",hookcat,per-024,temporal,155,155
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, establishing credibility and a clear intent for collaboration, which is mo",hookcat,per-024,temporal,155,155
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to collaboration, making it more engaging and likely to elicit a ",hookcat,per-024,temporal,155,155
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, collaborators, and conference appearances, which demonstrates genuine interest and builds credib",hookcat,per-024,temporal,155,155
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and compe",hookcat,per-024,temporal,155,155
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates genuine engagement with the recipient's specific work, and directly appeals to collaboration, whereas Email 2 is a generic call for ",hookcat,per-024,temporal,155,155
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work, and a direct, targeted appeal that creates a sense of genuine connection and individual i",hookcat,per-024,temporal,155,155
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear, direct opportunity for collaboration, making it more engaging and compe",hookcat,per-024,static,171,171
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by specifically acknowledging Dr. Reddy's achievements and work, which builds rapport and demonstrates genuine interest, whereas Email 2 ",hookcat,per-024,static,171,171
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, achievements, and grants, which builds credibility and shows genuine interest, whereas Emai",hookcat,per-024,static,171,171
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear next step for collaboration, making it more engaging and compelling.",hookcat,per-024,static,171,171
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific achievements and work, which demonstrates genuine interest and builds rapport, whereas Email 1 is",hookcat,per-024,static,171,171
claude-sonnet-4-6,2,True,A,5,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, institution, and recent grant achievement, demonstrating genuine interest and research into the ",hookcat,per-024,static,171,171
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear, direct collaboration, which is more engaging than the general invitatio",hookcat,per-024,static,171,171
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by specifically acknowledging Dr. Reddy's achievements and work, making the recipient feel valued and more likely to engage in a collabor",hookcat,per-024,static,171,171
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, achievements, and institutional affiliation, which builds credibility and shows genuine int",hookcat,per-024,static,171,171
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly proposes collaboration, whereas Email 2 is a general call for submissions withou",hookcat,per-025,temporal,147,147
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly seeks collaboration, whereas Email 2 is a generic call for submissions th",hookcat,per-025,temporal,147,147
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, creating a sense of genuine interest and flattery that motivates engagement, whereas Email ",hookcat,per-025,temporal,147,147
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and clearly expresses interest in collaboration, which is more likely to engage the re",hookcat,per-025,temporal,147,147
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to collaboration, making it more engaging and likely to elicit a ",hookcat,per-025,temporal,147,147
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborations, which builds credibility and rapport, making the request ",hookcat,per-025,temporal,147,147
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call",hookcat,per-025,temporal,147,147
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly seeks collaboration, which is more likely to engage the recipient than a ",hookcat,per-025,temporal,147,147
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and establishes credibility through concrete references, making the collaboration request fe",hookcat,per-025,temporal,147,147
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration and mentorship, making it more engagin",hookcat,per-025,static,160,160
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it directly appeals to the recipient's expertise and offers a clear, actionable role as a mentor, which is likely to resonate with an experienced researcher's sense ",hookcat,per-025,static,160,160
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and institution, creating a personalized appeal that flatters the recipient and establishes genuine connec",hookcat,per-025,static,160,160
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, clearly states the sender's intentions, and directly requests a meeting, m",hookcat,per-025,static,160,160
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized to the recipient's specific work and achievements, demonstrates genuine interest, and makes a clear, actionable request for collaboration, whereas",hookcat,per-025,static,160,160
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and institution, creating a genuine connection rather than the generic, form-letter tone of ",hookcat,per-025,static,160,160
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific interest in collaboration and mentorship, making it more engagin",hookcat,per-025,static,160,160
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it presents a clear, actionable request for the recipient to serve as a mentor, directly appealing to their expertise and offering a concrete opportunity to contribu",hookcat,per-025,static,160,160
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and institution, creating a personalized appeal that makes Dr. Ng feel recognized and valued, whereas Emai",hookcat,per-025,static,160,160
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, making it more engaging and relev",hookcat,per-026,temporal,102,102
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and offers a clear, personalized collaborative opportunity, whereas Email 2 is a generic request that lack",hookcat,per-026,temporal,102,102
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-author, and conference), which builds credibility and makes t",hookcat,per-026,temporal,102,102
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a clear connection to shared research interests, and proposes a concrete opportunity for coll",hookcat,per-026,temporal,102,102
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work and achievements of the recipient, and proposes a mutually beneficial collaboration, which is more engaging and likely t",hookcat,per-026,temporal,102,102
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates genuine familiarity with the recipient's specific work, citing a particular paper, co-author, and conference, which establishes credibility and p",hookcat,per-026,temporal,102,102
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a clear shared research interest, and proposes a direct collaborative opportunity, making it ",hookcat,per-026,temporal,102,102
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work and interests of the recipient, and proposes a collaborative discussion, whereas Email 2 is a generic call for reviewers",hookcat,per-026,temporal,102,102
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing the paper title, co-author, and conference), which builds credibility and rapport, m",hookcat,per-026,temporal,102,102
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, whereas Email 2 is a generic ",hookcat,per-026,static,173,173
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest and personalization by referencing the recipient's specific achievements and aligning them with the sender's goals, whereas Email 2 ",hookcat,per-026,static,173,173
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (NWO Veni grant, Utrecht Computing Institute, Delft contributions), which builds credibility",hookcat,per-026,static,173,173
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, expresses genuine interest, and clearly states a desire for collaboration, making it more personalized an",hookcat,per-026,static,173,173
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and directly appeals to the recipient's expertise and interests, making",hookcat,per-026,static,173,173
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized research into the recipient's specific work, grants, and institutional history, which builds credibility and flattery, whereas Email 1 i",hookcat,per-026,static,173,173
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and clearly expresses a genuine interest in collaboration, whereas Emai",hookcat,per-026,static,173,173
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it directly offers a concrete, prestigious opportunity (mentoring at a doctoral consortium) that appeals to the recipient's expertise and desire to contribute to the",hookcat,per-026,static,173,173
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, grants, and institutional history, which builds credibility and rapport, whereas Email 2 is",hookcat,per-026,static,173,173
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a clear opportunity for collaboration, making it more engaging and releva",hookcat,per-027,temporal,113,113
