model,repeat,swapped,winner,confidence,reasoning,experiment,tid,level_a,level_b,len_a,len_b,matched_len
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's work and achievements, establishing credibility and a clear basis for collaboration, whereas Email 1 is more gene",length,per-008,1,3,121,169,121
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including a recent presentation, collaborators, and a specific paper, which shows genuine interest and es",length,per-008,1,3,121,169,121
claude-sonnet-4-6,1,False,B,5,"Email 2 is far more persuasive because it demonstrates specific, genuine knowledge of Dr. Adeyemi's work—citing a named conference, a specific collaboration, and a particular paper—which establishes c",length,per-008,1,3,121,169,121
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly states the sender's interest in collaboration, acknowledges Dr. Adeyemi's leadership, and includes a polite request for a meeting with complete contact de",length,per-008,1,3,121,169,121
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, including their presentation, collaborators, and recent papers, which shows genuine interest and establis",length,per-008,1,3,121,169,121
claude-sonnet-4-6,2,True,B,5,"Email 1 is significantly more persuasive because it demonstrates specific, detailed knowledge of Dr. Adeyemi's actual work—citing a specific conference, named collaborators, and a specific paper title",length,per-008,1,3,121,169,121
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's recent work and collaborations, showing genuine interest and establishing a stronger connection, whereas Email 1 ",length,per-008,1,3,121,169,121
deepseek-chat,3,False,B,4,"Email 2 demonstrates specific knowledge of the recipient's work, including a recent presentation, collaborations, and a paper, which makes the request feel personalized and credible, thereby increasin",length,per-008,1,3,121,169,121
claude-sonnet-4-6,3,False,B,5,"Email 2 is far more persuasive because it demonstrates specific, genuine knowledge of Dr. Adeyemi's work—citing a named conference, a collaboration with Professor Bello, and a specific co-authored pap",length,per-008,1,3,121,169,121
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it provides specific references to Dr. Adeyemi's recent work and collaborations, demonstrating thorough knowledge and genuine interest, which strengthens the appeal ",length,per-008,3,5,169,171,169
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, detailed knowledge of the recipient's work (e.g., the exact conference, co-authors, and paper titles), which builds credibility and shows g",length,per-008,3,5,169,171,169
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, verifiable knowledge of Dr. Adeyemi's work—citing a named conference, collaborators, and a specific paper title—which signals genuine engag",length,per-008,3,5,169,171,169
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's recent work and collaborations, showing genuine engagement and tailored interest, which is likely to resonate mor",length,per-008,3,5,169,171,169
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's recent work and regional contributions, which builds credibility and shows genuine engagement, wh",length,per-008,3,5,169,171,169
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it cites specific, verifiable details—a named conference, collaborators' names, and a specific paper title—which demonstrate genuine familiarity with Dr. Adeyemi's w",length,per-008,3,5,169,171,169
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's work with detailed references to presentations and papers, establishing credibility and a stronger foundation for",length,per-008,3,5,169,171,169
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (e.g., the conference presentation, collaboration with Professor Amina Bello, and the paper ",length,per-008,3,5,169,171,169
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, verifiable knowledge of Dr. Adeyemi's work—citing a named conference, specific collaborators, and a precise paper title—which signals genui",length,per-008,3,5,169,171,169
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's recent work and clearly aligns the sender's research interests with his, making the collaboration proposal more t",length,per-008,1,5,121,171,121
deepseek-chat,1,False,B,4,"Email 2 demonstrates specific knowledge of Dr. Adeyemi's research and directly connects it to the sender's own work, making it more tailored and compelling for collaboration.",length,per-008,1,5,121,171,121
claude-sonnet-4-6,1,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Adeyemi's actual research (cryptographic methods, secure routing protocols, intrusion detection systems) and proposes concrete collaboration areas, makin",length,per-008,1,5,121,171,121
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly states the intent, expresses genuine admiration, and includes a polite call to action with complete contact information, making it easier for the recipien",length,per-008,1,5,121,171,121
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's work and directly connects it to the sender's own research challenges, making the collaboration proposal more tar",length,per-008,1,5,121,171,121
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates deeper familiarity with Dr. Adeyemi's specific research (cryptographic methods, secure routing protocols, adaptive intrusion detection for IoT), making it more credible and target",length,per-008,1,5,121,171,121
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Adeyemi's recent work and aligns the sender's research interests closely with his, making the collaboration proposal more t",length,per-008,1,5,121,171,121
deepseek-chat,3,False,B,4,"Email 2 demonstrates specific knowledge of Dr. Adeyemi's research and directly connects it to the sender's work, making it more personalized and compelling for collaboration.",length,per-008,1,5,121,171,121
claude-sonnet-4-6,3,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Adeyemi's actual research areas (cryptographic methods, secure routing protocols, IoT intrusion detection), proposes concrete collaboration topics, and s",length,per-008,1,5,121,171,121
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Mohammadi's work, acknowledges his contributions and mentorship, and references a recent presentation, which shows genuine ",length,per-009,1,3,118,168,118
deepseek-chat,1,False,B,4,"Email 2 demonstrates more persuasive power by showing specific knowledge of the recipient's work, including a particular paper, a conference presentation, and even personal achievements like mentoring",length,per-009,1,3,118,168,118
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific, genuine familiarity with Dr. Mohammadi's work by referencing a particular paper, co-authorship, mentoring activities, and a specific confer",length,per-009,1,3,118,168,118
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly states the sender's interest, specifies the potential for collaboration, and includes a polite call to action with contact details, making it more complet",length,per-009,1,3,118,168,118
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, including their paper, mentoring, and conference presentation, which builds credibility and shows genuine",length,per-009,1,3,118,168,118
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates significantly more specific knowledge of Dr. Mohammadi's work—citing a particular paper, co-author, conference presentation, and teaching activities—which builds credibility and s",length,per-009,1,3,118,168,118
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it provides specific references to Dr. Mohammadi's work, achievements, and contributions, demonstrating genuine interest and familiarity, which is likely to engage t",length,per-009,1,3,118,168,118
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including a particular paper, a conference presentation, and mentoring efforts, which shows genuine inter",length,per-009,1,3,118,168,118
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific, genuine familiarity with Dr. Mohammadi's work by referencing a particular paper, co-author, teaching contributions, and a specific conferen",length,per-009,1,3,118,168,118
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it provides a clearer expression of shared research interests, specifies potential collaboration areas, and includes a polite closing with full contact information, ",length,per-009,3,5,168,137,137
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper and more specific understanding of the recipient's work by mentioning multiple research areas (secure routing protocols, cryptographic metho",length,per-009,3,5,168,137,137
claude-sonnet-4-6,1,False,B,3,"Email 2 is more persuasive because it references multiple specific works (adaptive intrusion detection and secure routing protocols), proposes broader collaboration areas, and includes a complete prof",length,per-009,3,5,168,137,137
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it is concise, clearly states shared research interests, and directly proposes a conversation for collaboration, whereas Email 2 is somewhat repetitive and ends abru",length,per-009,3,5,168,137,137
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper engagement with the recipient's specific research areas (adaptive intrusion detection, secure routing protocols, and cryptographic methods for",length,per-009,3,5,168,137,137
claude-sonnet-4-6,2,True,A,3,"Email 2 is slightly more persuasive because it references a specific paper title and co-author, demonstrating more genuine familiarity with Dr. Mohammadi's work, and structures its praise more natural",length,per-009,3,5,168,137,137
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it is more comprehensive, includes specific research interests and collaboration areas, and ends with a clear call to action and professional closing details, making",length,per-009,3,5,168,137,137
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper and more specific understanding of the recipient's work by mentioning multiple research areas (secure routing protocols, cryptographic metho",length,per-009,3,5,168,137,137
claude-sonnet-4-6,3,False,B,3,"Email 2 is more persuasive because it demonstrates broader familiarity with Dr. Mohammadi's work (mentioning multiple research areas), includes a complete professional signature that establishes credi",length,per-009,3,5,168,137,137
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Mohammadi's recent work and achievements, making the request for collaboration more personalized and credible.",length,per-009,1,5,118,137,118
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including particular studies and a conference presentation, which shows genuine interest and effort, maki",length,per-009,1,5,118,137,118
claude-sonnet-4-6,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific, genuine knowledge of Dr. Mohammadi's work (citing particular research topics and a specific conference), which signals credibility and seri",length,per-009,1,5,118,137,118
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly states the sender's current project, expresses specific interest in the recipient's expertise, and includes a polite closing with full contact information",length,per-009,1,5,118,137,118
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, including particular studies and a conference presentation, which shows genuine interest and effort, maki",length,per-009,1,5,118,137,118
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates significantly more specific knowledge of Dr. Mohammadi's work—citing particular research areas, a specific conference, and concrete topics like adaptive intrusion detection and se",length,per-009,1,5,118,137,118
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Mohammadi's recent work and achievements, making the request for collaboration more personalized and credible.",length,per-009,1,5,118,137,118
deepseek-chat,3,False,B,4,"Email 2 demonstrates specific knowledge of the recipient's work, including particular studies and a conference presentation, which shows genuine interest and makes the request more compelling and pers",length,per-009,1,5,118,137,118
claude-sonnet-4-6,3,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Mohammadi's actual work, citing particular research areas and a specific conference, which signals genuine interest and establishes credibility far more ",length,per-009,1,5,118,137,118
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it includes specific references to Dr. Leroy's recent work and collaborations, demonstrating genuine familiarity and interest, which makes the request for collaborat",length,per-010,1,3,120,126,120
deepseek-chat,1,False,B,4,"Email 2 demonstrates specific knowledge of the recipient's work (a named presentation and a collaboration), which makes the request feel more personalized and credible, increasing persuasiveness.",length,per-010,1,3,120,126,120
claude-sonnet-4-6,1,False,B,5,"Email 2 is more persuasive because it demonstrates genuine familiarity with Dr. Leroy's specific work (citing a named conference presentation and a named collaborator), which establishes credibility a",length,per-010,1,3,120,126,120
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly aligns the sender's research with the recipient's expertise, explicitly proposes collaboration, and includes a direct call to action with a request for a ",length,per-010,1,3,120,126,120
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (a particular presentation and a collaborative project), which signals genuine interest and ",length,per-010,1,3,120,126,120
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates more specific, credible knowledge of Dr. Leroy's work by referencing a particular conference presentation and a named collaborator, which builds trust and shows genuine engagement",length,per-010,1,3,120,126,120
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Leroy's recent work and collaborations, showing genuine interest and respect, which makes the request for collaboration mor",length,per-010,1,3,120,126,120
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work (a particular presentation and a collaboration), which shows genuine interest and effort, making the reque",length,per-010,1,3,120,126,120
claude-sonnet-4-6,3,False,B,5,"Email 2 is more persuasive because it demonstrates genuine familiarity with Dr. Leroy's specific work (citing a named conference presentation and a named collaborator), which establishes credibility a",length,per-010,1,3,120,126,120
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Leroy's work, references a recent presentation and collaboration, and clearly expresses a desire for guidance or collaborat",length,per-010,3,5,126,172,126
deepseek-chat,1,False,B,4,Email 2 is more persuasive because it specifically mentions the recipient's recent work on adaptive intrusion detection systems and aligns it with a concrete research objective (enhancing cybersecurit,length,per-010,3,5,126,172,126
claude-sonnet-4-6,1,False,A,3,"Email 1 is slightly more persuasive because it references a specific, verifiable event (the 2023 ESORICS presentation) and a named collaborator (Dr. Julien Moreau), lending it greater credibility and ",length,per-010,3,5,126,172,126
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it includes specific recent references to Dr. Leroy's work, clearly expresses the sender's interest in collaboration and guidance, and ends with a polite, profession",length,per-010,3,5,126,172,126
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, recent engagement with the recipient's work (a 2023 presentation) and a clear, actionable request for collaboration or guidance, whereas Em",length,per-010,3,5,126,172,126
claude-sonnet-4-6,2,True,A,3,"Email 2 is more persuasive because it references a specific, verifiable event (the 2023 European Symposium presentation) and names a specific collaborator (Dr. Julien Moreau), making the flattery feel",length,per-010,3,5,126,172,126
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it provides specific references to the recipient's work and collaborators, clearly states the sender's research interests, and politely requests a discussion, making",length,per-010,3,5,126,172,126
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it specifically connects the recipient's recent work (adaptive intrusion detection, encrypted traffic analysis) and mentoring activities to a concrete collaboration ",length,per-010,3,5,126,172,126
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it references a specific, verifiable event (the 2023 ESORICS presentation) and names a specific collaborator (Dr. Julien Moreau), lending it greater credibility and ",length,per-010,3,5,126,172,126
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper understanding of Dr. Leroy's specific recent work and contributions, making the collaboration proposal more personalized and relevant.",length,per-010,1,5,120,172,120
deepseek-chat,1,False,B,4,"Email 2 demonstrates more specific knowledge of the recipient's work, mentioning particular projects and contributions, which makes the collaboration request feel more genuine and tailored, thereby in",length,per-010,1,5,120,172,120
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific, detailed knowledge of Dr. Leroy's work (adaptive intrusion detection systems, encrypted traffic analysis, graduate seminar on Network Secur",length,per-010,1,5,120,172,120
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly states the intent to collaborate, highlights alignment in research interests, and includes a specific call to action with a request for a meeting, making ",length,per-010,1,5,120,172,120
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's recent work and contributions, which builds credibility and shows genuine interest, whereas Email 2 is more gen",length,per-010,1,5,120,172,120
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates deeper familiarity with Dr. Leroy's specific work (adaptive intrusion detection systems, encrypted traffic analysis, graduate seminar on Threat Modeling), which builds credibility",length,per-010,1,5,120,172,120
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper understanding of Dr. Leroy's specific recent work and contributions, includes a compliment on mentoring which adds a personal touch, and cle",length,per-010,1,5,120,172,120
deepseek-chat,3,False,B,4,"Email 2 demonstrates more specific knowledge of the recipient's work (e.g., adaptive intrusion detection systems, encrypted traffic analysis, and mentoring), which makes the collaboration request feel",length,per-010,1,5,120,172,120
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific, detailed knowledge of Dr. Leroy's work (adaptive intrusion detection systems, encrypted traffic analysis, graduate seminar on Network Secur",length,per-010,1,5,120,172,120
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it clearly states the sender's interest, research focus, and a polite request for discussion or collaboration, whereas Email 2 is incomplete and less focused.",length,per-011,1,3,101,156,101
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it explicitly highlights specific aspects of the recipient's work, suggests mutual benefits, and aligns with the recipient's values, creating a stronger connection a",length,per-011,1,3,101,156,101
claude-sonnet-4-6,1,False,B,3,"Email 2 is slightly more persuasive because it demonstrates deeper engagement with the research by referencing specific aspects like 'AI-driven threat mitigation strategies,' mentions the sender's own",length,per-011,1,3,101,156,101
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is complete, clearly expresses interest in collaboration, and professionally includes contact information, making it easier for the recipient to respond, whereas ",length,per-011,1,3,101,156,101
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is concise, directly references the recipient's work, clearly states the sender's research focus, and makes a specific, polite request for discussion or guidance,",length,per-011,1,3,101,156,101
claude-sonnet-4-6,2,True,A,3,"Email 2 is more focused and concise, clearly stating the sender's relevant research alignment with Dr. Choi's specific work and making a direct, humble request for collaboration, whereas Email 1 trail",length,per-011,1,3,101,156,101
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it clearly states the sender's research focus, expresses genuine interest in the recipient's work, and politely requests a discussion or collaboration, while Email 2",length,per-011,1,3,101,156,101
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it explicitly highlights specific aspects of the recipient's work, proposes a mutually beneficial collaboration, and acknowledges the recipient's mentoring role, cre",length,per-011,1,3,101,156,101
claude-sonnet-4-6,3,False,B,3,"Email 2 is slightly more persuasive because it demonstrates deeper engagement with the research by mentioning specific details like 'AI-driven threat mitigation strategies,' articulates a clearer valu",length,per-011,1,3,101,156,101
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it specifically references Dr. Choi's work and collaborators, clearly aligns research interests, and explicitly proposes concrete collaboration formats, making the a",length,per-011,3,5,156,167,156
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper, more specific engagement with the recipient's work by mentioning a particular conference presentation and connecting it to concrete shared ",length,per-011,3,5,156,167,156
claude-sonnet-4-6,1,False,B,3,"Email 2 is slightly more persuasive because it references a specific conference presentation, mentions concrete shared research areas (smart cities, IoT protocols), and frames the collaboration around",length,per-011,3,5,156,167,156
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it includes specific references to collaborators, clearly states mutual benefits, and provides complete contact information, making it more professional and actionab",length,per-011,3,5,156,167,156
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper, more specific engagement with Dr. Choi's work by referencing a particular conference presentation and explicitly linking shared interests in ",length,per-011,3,5,156,167,156
claude-sonnet-4-6,2,True,A,2,"Email 2 is marginally more persuasive because it mentions a specific collaborator (Prof. Min-Jae Lee), demonstrating deeper familiarity with Dr. Choi's work, and includes a concrete alternative propos",length,per-011,3,5,156,167,156
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it specifically references Dr. Choi's work and collaborators, clearly aligns research interests, and explicitly proposes collaborative activities, making the invitat",length,per-011,3,5,156,167,156
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper, more specific engagement with Dr. Choi's work by referencing a particular conference presentation and connecting it to concrete shared inte",length,per-011,3,5,156,167,156
claude-sonnet-4-6,3,False,B,3,"Email 2 is slightly more persuasive because it references a specific conference presentation, mentions concrete shared research areas (smart cities, IoT), and frames the collaboration around a compell",length,per-011,3,5,156,167,156
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it directly references a specific paper by the recipient, clearly states the sender's research focus, and politely requests a discussion or collaboration, whereas Em",length,per-011,1,5,101,167,101
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper engagement with the recipient's work by referencing a specific conference presentation and aligning shared research interests, which builds ",length,per-011,1,5,101,167,101
claude-sonnet-4-6,1,False,B,3,"Email 2 demonstrates deeper familiarity with Dr. Choi's broader work (conference presentation, smart city/IoT interests, mentoring activities) and frames the outreach around mutual benefit and shared ",length,per-011,1,5,101,167,101
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it directly references a specific paper, clearly states the sender's research focus, and politely requests collaboration or guidance with complete contact informatio",length,per-011,1,5,101,167,101
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper engagement with Dr. Choi's specific work and interests, mentions a presentation and shared research contexts, and expresses admiration for men",length,per-011,1,5,101,167,101
claude-sonnet-4-6,2,True,A,3,"Email 2 is more focused and complete with a clear call to action and proper sign-off, while Email 1 appears to be cut off mid-sentence, undermining its persuasiveness despite its stronger specificity ",length,per-011,1,5,101,167,101
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it directly references a specific paper by the recipient, clearly states the sender's research focus, and politely requests a discussion or collaboration, while Emai",length,per-011,1,5,101,167,101
deepseek-chat,3,False,B,4,"Email 2 demonstrates a deeper engagement with the recipient's work by referencing a specific presentation and shared interests in smart city infrastructures and IoT, making it more personalized and pe",length,per-011,1,5,101,167,101
claude-sonnet-4-6,3,False,B,3,"Email 2 demonstrates deeper familiarity with Dr. Choi's broader work (conference presentation, smart city/IoT interests, mentoring) and frames the outreach as a mutual collaboration rather than a one-",length,per-011,1,5,101,167,101
gpt-4.1-mini,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Graves's recent work and collaborations, aligning the sender's research interests closely with those of Dr. Graves, thereby",length,per-012,1,3,127,143,127
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including AI-driven threat detection and a collaboration with Dr. Emily Shaw, which shows genuine interes",length,per-012,1,3,127,143,127
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Graves' research (AI-driven threat detection, decentralized firewall architectures, collaboration with Dr. Emily Shaw), whi",length,per-012,1,3,127,143,127
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Graves's research, highlights shared research interests, and proposes concrete collaboration opportunities, making it more ",length,per-012,1,3,127,143,127
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's research and collaborations, directly aligning with their expertise, which builds credibility and shows genuine",length,per-012,1,3,127,143,127
claude-sonnet-4-6,2,True,B,3,"Email 1 demonstrates more specific knowledge of the recipient's research (AI-driven threat detection, decentralized firewall architectures, collaboration with Dr. Emily Shaw), which signals genuine in",length,per-012,1,3,127,143,127
gpt-4.1-mini,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Graves's recent work and collaborations, aligning the sender's research interests closely with his, thereby establishing cr",length,per-012,1,3,127,143,127
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including AI-driven threat detection and a collaboration with Dr. Emily Shaw, which shows genuine interes",length,per-012,1,3,127,143,127
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Graves' research (AI-driven threat detection, decentralized firewall architectures, collaboration with Dr. Shaw), making it",length,per-012,1,3,127,143,127
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates a deeper knowledge of Dr. Graves's specific recent achievements and collaborations, references a recent grant award which adds relevance and timeline",length,per-012,3,5,143,156,143
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work (e.g., adaptive intrusion detection for IoT, collaborations at University of Manchester, and ",length,per-012,3,5,143,156,143
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates greater specificity about Dr. Graves' work (mentioning adaptive intrusion detection systems for IoT networks, the University of Manchester collaborat",length,per-012,3,5,143,156,143
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it provides a clearer expression of alignment with Dr. Graves' work, mentions a specific collaborator to establish credibility, and includes a polite closing with fu",length,per-012,3,5,143,156,143
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work (e.g., adaptive intrusion detection systems, joint efforts with University of Manchester, rec",length,per-012,3,5,143,156,143
claude-sonnet-4-6,2,True,B,2,"Email 1 demonstrates slightly more specific knowledge of the recipient's work (mentioning IoT networks, University of Manchester collaboration, and a recent grant award), which signals genuine familia",length,per-012,3,5,143,156,143
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it includes more specific references to Dr. Graves' recent work, collaborations, and grant award, demonstrating a deeper understanding of their research and providin",length,per-012,3,5,143,156,143
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work (e.g., adaptive intrusion detection for IoT, collaboration with University of Manchester, and",length,per-012,3,5,143,156,143
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates greater specificity about Dr. Graves' work (mentioning adaptive intrusion detection systems for IoT networks, the University of Manchester collaborat",length,per-012,3,5,143,156,143
gpt-4.1-mini,1,False,B,5,"Email 2 is more persuasive because it demonstrates detailed knowledge of Dr. Graves's specific research, acknowledges recent achievements, and clearly aligns the sender's interests with Dr. Graves's w",length,per-012,1,5,127,156,127
deepseek-chat,1,False,B,4,"Email 2 demonstrates specific knowledge of the recipient's recent work and projects, which shows genuine interest and makes the collaboration proposal more credible and compelling.",length,per-012,1,5,127,156,127
claude-sonnet-4-6,1,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Graves's actual research (adaptive intrusion detection, IoT networks, decentralized firewall architectures, University of Manchester collaboration, AI-dr",length,per-012,1,5,127,156,127
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates detailed knowledge of Dr. Graves's specific research achievements and funding, indicating a well-informed and targeted interest in collaboration, whi",length,per-012,1,5,127,156,127
deepseek-chat,2,True,B,4,"Email 1 demonstrates specific knowledge of the recipient's recent work, collaborations, and grant, which shows genuine interest and establishes credibility, making it more persuasive than the generic ",length,per-012,1,5,127,156,127
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates specific knowledge of Dr. Graves's research (adaptive intrusion detection, decentralized firewall architectures, University of Manchester collaboration, recent grant), which signa",length,per-012,1,5,127,156,127
gpt-4.1-mini,3,False,B,5,"Email 2 demonstrates detailed knowledge of Dr. Graves's specific research achievements and recent grant, making it more personalized and compelling for collaboration.",length,per-012,1,5,127,156,127
deepseek-chat,3,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Graves' recent work and achievements, making it more personalized and compelling for collaboration.",length,per-012,1,5,127,156,127
claude-sonnet-4-6,3,False,B,5,"Email 2 demonstrates specific knowledge of Dr. Graves's actual research (adaptive intrusion detection, IoT networks, decentralized firewall architectures, University of Manchester collaboration, AI-dr",length,per-012,1,5,127,156,127
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates detailed knowledge of Dr. Peeters' work, references specific projects and collaborations, and highlights the research community, thereby showing genu",length,per-013,1,3,106,144,106
deepseek-chat,1,False,B,4,"Email 2 demonstrates more persuasive power by showing specific knowledge of the recipient's work, including a grant and a collaboration, which signals genuine interest and effort, making the recipient",length,per-013,1,3,106,144,106
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates specific knowledge of Dr. Peeters' work, including blockchain authentication, a named grant, and a named collaborator, which signals genuine familiarity and investment, making it ",length,per-013,1,3,106,144,106
