target_id,persona_name,S+C-_subject,S+C-_body,S-C+_subject,S-C+_body
per-026,Dr. Daan de Vries,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Emerging Technologies (ISET-2025),"Dear Dr. [Recipient],

On behalf of the Awards and Recognition Committee of the International Symposium on Emerging Technologies (ISET-2025), I am pleased to inform you that you have been formally nominated for the Distinguished Scholar Award in recognition of your contributions to the academic community.

ISET-2025 will be held from September 14–17, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland. The awards ceremony is scheduled for the evening of September 16th, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominations were reviewed by a panel including representatives from MIT, ETH Zurich, and the European Research Council. The selection deadline is June 30, 2025. Should you accept, please complete the enclosed nomination acceptance form and return it to awards@iset2025.org by July 15, 2025.

We would be honored by your participation.

Sincerely,
Dr. Marcus Albright
Secretary General, ISET Awards Committee
albright@iset2025.org | +41 22 555 0192",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-027,Dr. Ngozi Adebayo,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-028,Dr. Amir Hashemi,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to inform you that you have been formally nominated for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held September 14–17, 2025, at the Hargrove Convention Center in Geneva, Switzerland, co-hosted by the European Institute for Advanced Studies and the Meridian Foundation for Scientific Progress.

This prestigious award, established in 2009 by founding chair Professor Eleanor Whitfield, recognizes outstanding contributions to the broader academic community. Past recipients include scholars from MIT, ETH Zürich, and the University of Tokyo.

To proceed, please submit your curriculum vitae, a 500-word professional biography, and two letters of recommendation to nominations@iscs-symposium.org no later than June 30, 2025.

Kindly confirm receipt of this correspondence at your earliest convenience.

Warm regards,
Dr. Jonathan Harcastle
Chair, ISCS Awards Committee
j.harcastle@iscs-symposium.org",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-029,Dr. Julie Petit,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-030,Dr. Ye-Jun Jung,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartmann of the ETH Zurich Institute for Advanced Study, will review all nominations submitted before the July 31, 2025 deadline.

Previous recipients include Dr. Marcus Oyelaran (Stanford, 2023) and Professor Ingrid Solberg (TU Delft, 2022), reflecting the award's commitment to recognizing transformative contributions across disciplines.

To confirm your nomination, please submit a two-page curriculum vitae and a brief statement of research impact to awards@iscs-symposium.org by the stated deadline. Accommodation arrangements at the Hotel Palais Lumière will be coordinated upon confirmation.

We look forward to your participation.

Sincerely,
Dr. Raymond Castellano
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A colleague"
per-031,Dr. Oliver Cromwell,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally submitted for consideration for the Distinguished Scholar Award in Applied Research.

This prestigious recognition, administered jointly by the ISCS Steering Board and the Hargrove Foundation for Academic Excellence, is awarded annually to no more than three scholars whose contributions have demonstrably advanced their respective fields. The selection panel, chaired by Professor Eleanor Whitfield (University of Edinburgh) and Professor Rajiv Anand (MIT), will convene on July 30, 2025, in Cambridge, Massachusetts.

To complete your nomination file, please submit a current curriculum vitae, a 500-word research statement, and two letters of recommendation no later than June 15, 2025, via our secure portal at submissions.iscs2025.org.

We look forward to your participation.

Sincerely,
Dr. Margaret Holloway
Executive Secretary, ISCS Program Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-032,Dr. Sophie Dupont,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [LASTNAME],

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held September 14–17, 2025, at the Meridian Convention Centre, Geneva, Switzerland. The Distinguished Scholar Award, established in 2003 by the ISCS Governing Board, recognizes outstanding contributions to the broader computational sciences community. Past recipients include luminaries from institutions such as ETH Zürich, MIT, and the University of Edinburgh.

Your nomination was submitted by the Regional Nominations Subcommittee and reviewed by Dr. Helena Voss (Chair), Professor Alistair Drummond, and Dr. Priya Nambiar. The formal acceptance deadline is June 30, 2025.

Please confirm your acceptance by contacting our Secretariat at awards@iscs-symposium.org. A formal nomination dossier will follow upon confirmation.

Warm regards,

Professor James R. Whitfield
Chair, Awards and Recognition Committee
International Symposium on Computational Sciences",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime?

Thanks for your time."
per-033,Dr. Thomas Weber,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Emerging Technologies (ISET-2025),"Dear Dr. [Recipient],

On behalf of the Awards and Recognition Committee of the International Symposium on Emerging Technologies (ISET-2025), I am pleased to inform you that you have been formally nominated for the Distinguished Scholar Award in recognition of your contributions to the academic community.

ISET-2025 will be held from September 14–17, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland. The awards ceremony is scheduled for the evening of September 16th, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominations were reviewed by a panel including representatives from MIT, ETH Zurich, and the European Research Council. The selection deadline is June 30, 2025. Should you accept, please complete the enclosed nomination acceptance form and return it to awards@iset2025.org by July 15, 2025.

We would be honored by your participation.

Sincerely,
Dr. Marcus Albright
Secretary General, ISET Awards Committee
albright@iset2025.org | +41 22 555 0192",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A fellow researcher"
per-034,Dr. Tal Avraham,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), scheduled to convene on March 14–17, 2025, at the Harrington Convention Centre, Edinburgh, United Kingdom.

Following deliberations by our selection panel — comprising Professor Eleanor Whitfield (MIT), Dr. Rajiv Anand (ETH Zürich), and Dr. Camille Fontaine (Sorbonne Université) — your name has been formally nominated for the 2025 Distinguished Scholar Award in recognition of sustained contributions to the academic community.

The nomination deadline is January 31, 2025. Should you accept, we kindly request a brief biographical statement (250 words maximum) and a curriculum vitae submitted via our secure portal at submissions.iscs-conference.org by February 7, 2025.

The award ceremony will be hosted during the symposium's gala dinner on March 16, 2025.

Please confirm your acceptance by contacting our coordinator, Ms. Patricia Holloway, at awards@iscs-conference.org.

Warm regards,
Professor James Alderton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-035,Dr. Pedro Santos,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Marriott Grand Conference Center in Geneva, Switzerland, I am pleased to inform you that you have been nominated for the Distinguished Scholar Award in recognition of your contributions to the field.

The nomination was submitted by the Awards Subcommittee, chaired by Professor Eleanor Hartmann of ETH Zurich, in coordination with Dr. Marcus Oyelaran of the IEEE Technical Activities Board. The selection panel convenes on June 30, 2025, and finalists will be notified by July 15, 2025.

To confirm your acceptance of this nomination, please complete the enclosed Nominee Consent Form (Form ISCS-NOM-2025-04) and return it to the Secretariat at awards@iscs-symposium.org no later than May 31, 2025.

We look forward to your participation.

Sincerely,
Dr. Ingrid Voss
Secretary-General, ISCS Program Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-036,Dr. Tariq Hassan,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security and Privacy (ISISP 2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations conducted by our committee — comprising representatives from Carnegie Mellon University, ETH Zürich, and the USENIX Security Board — your name has been formally put forward as a nominee for the 2025 Distinguished Researcher Award in Cybersecurity Innovation.

This award, established in 2009 through a joint endowment by the IEEE Foundation and the National Science Foundation (Grant No. NSF-SaTC-0912847), recognizes outstanding contributions to the broader information security research community.

We respectfully request that you confirm your acceptance of this nomination no later than March 31, 2025, by contacting our committee coordinator, Ms. Patricia Holloway, at nominations@isisp2025.org.

We look forward to your favorable response.

Sincerely,
Professor Gerald M. Ashworth
Chair, ISISP 2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A colleague"
per-037,Dr. Robert Kim,Nomination for the 2025 Distinguished Researcher Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Researcher Award.

The symposium will be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C. The selection committee, chaired by Professor Eleanor Hartfield of MIT and co-chaired by Dr. Rajiv Menon of ETH Zürich, reviews nominations submitted by institutional representatives worldwide.

Award recipients are recognized during the Gala Ceremony on September 16th and receive a $5,000 honorarium, a commemorative plaque, and an invitation to deliver a keynote address. Previous recipients include Dr. Susan Okafor (Stanford, 2023) and Professor Liang Wei (Cambridge, 2022).

To confirm your nomination, please submit a two-page biography and CV to awards@iscs-symposium.org by August 1, 2025.

We look forward to your participation.

Sincerely,
Dr. Margaret Holloway
Executive Director, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime?

Thanks for your time."
per-038,Dr. Lars Andersson,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held from September 14–17, 2025, at the Meridian Convention Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartfield of the University of Edinburgh and co-chaired by Dr. Marcus Oyelaran of MIT's Schwarzman College of Computing, will convene on July 30, 2025, to finalize awardees.

Nominees are requested to submit a brief professional biography (maximum 500 words), a curriculum vitae, and two letters of support from senior academic colleagues no later than June 15, 2025. Submissions should be directed to awards@iscs-symposium.org referencing nomination code ISCS-2025-DSA-0471.

Travel and accommodation support is available for confirmed awardees through the ISCS Foundation Grant Programme.

We look forward to your participation.

Sincerely,
Dr. Patricia Wentworth
Secretary-General, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-039,Dr. Chloe Taylor,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartfield of the University of Edinburgh and co-chaired by Dr. Marcus Oyelaran of the MIT Media Lab, will review nominations through July 31, 2025.

Award recipients will be recognized during the plenary ceremony on September 15th and will receive a commemorative medallion, a certificate of distinction, and a $5,000 honorarium generously endowed by the Whitmore Foundation for Academic Excellence.

To confirm your acceptance of this nomination, please submit your curriculum vitae and a brief professional biography to nominations@iscs-symposium.org no later than August 15, 2025.

We look forward to celebrating your contributions to the scholarly community.

Sincerely,
Dr. Patricia Voss
Committee Secretary, ISCS 2025",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-040,Dr. Trevor Beauchamp,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime?

Thanks for your time."
per-041,Dr. Ryo Sato,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to inform you that you have been formally nominated for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held from September 14–17, 2025, at the Hargrove Convention Centre in Edinburgh, Scotland, co-hosted by the University of Edinburgh and the Meridian Institute for Advanced Studies. This year's program is chaired by Professor Helena Voss (ETH Zürich) and Dr. Raymond Okafor (MIT Lincoln Laboratory).

Nominees are evaluated by a panel of twelve international reviewers across criteria including scholarly impact, interdisciplinary contribution, and professional service. The nomination deadline is June 30, 2025. Award recipients receive a commemorative medallion, a $5,000 honorarium, and a keynote invitation.

Please confirm your acceptance of this nomination by contacting our coordinator, Ms. Priya Nambiar, at awards@iscs-symposium.org by May 15, 2025.

Warm regards,
Professor Alistair Drummond
Committee Chair, ISCS 2025",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-042,Dr. Katri Saar,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Gala is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

This nomination was submitted by the ISCS Selection Board, chaired by Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies, in coordination with Dr. Marcus Oyelaran, Regional Director for the European Academic Consortium (EAC).

Nominees are requested to submit a brief biographical statement (maximum 400 words) and a curriculum vitae no later than July 31, 2025, via the ISCS submission portal at submissions.iscs-conference.org.

Please direct any inquiries to the Awards Secretariat at awards@iscs-conference.org or by telephone at +41 22 555 0192.

We look forward to your participation.

Warm regards,
Professor Eleanor Hartmann
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-043,Dr. Arjun Mehta,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Emerging Technologies (ISET-2025),"Dear Dr. [Recipient],

On behalf of the Awards and Recognition Committee of the International Symposium on Emerging Technologies (ISET-2025), I am pleased to inform you that you have been formally nominated for the Distinguished Scholar Award in recognition of your contributions to the academic community.

ISET-2025 will be held from September 14–17, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland. The awards ceremony is scheduled for the evening of September 16th, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominations were reviewed by a panel including representatives from MIT, ETH Zurich, and the European Research Council. The selection deadline is June 30, 2025. Should you accept, please complete the enclosed nomination acceptance form and return it to awards@iset2025.org by July 15, 2025.

We would be honored by your participation.

Sincerely,
Dr. Marcus Albright
Secretary General, ISET Awards Committee
albright@iset2025.org | +41 22 555 0192",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-044,Dr. Siew Mei Chong,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartmann of the ETH Zurich Institute for Advanced Study, will evaluate nominees based on scholarly impact, interdisciplinary contribution, and professional standing within the academic community.

Nominees are requested to submit a current curriculum vitae, a 500-word professional biography, and two letters of recommendation from tenured faculty no later than June 30, 2025. All materials should be directed to awards@iscs-symposium.org, referencing nomination code ISCS-2025-DSA.

The award ceremony will be hosted during the symposium's closing plenary on September 17th. Travel and accommodation stipends are available upon request.

We look forward to your participation.

Sincerely,
Dr. Marcus Albright
Secretary-General, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-045,Dr. Sven Visser,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-046,Dr. Chidi Okonkwo,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher Name],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research.

The symposium will be held from September 14–17, 2025, at the Harrington Convention Centre, Edinburgh, United Kingdom. The Distinguished Scholar Award, established in 2003 by the ISCS Founding Board, recognizes outstanding contributions to the broader academic community.

Your nomination was submitted by the Regional Nominations Board, chaired by Professor Eleanor Whitfield of the University of Bristol, and seconded by Dr. Marcus Okonkwo of the Geneva Institute for Advanced Studies.

To proceed, please submit your curriculum vitae, a 500-word research statement, and two letters of recommendation to awards@iscs-symposium.org no later than June 30, 2025.

We look forward to your participation.

Sincerely,
Dr. Patricia Holmberg
Chair, Awards and Recognition Committee
International Symposium on Computational Sciences",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime?

Thanks for your time."
per-047,Dr. Nasrin Hosseini,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally submitted for consideration for the Distinguished Scholar Award in Applied Research.

This prestigious recognition, administered jointly by the ISCS Steering Board and the Hargrove Foundation for Academic Excellence, is awarded annually to no more than three individuals demonstrating sustained contributions to their respective fields. The nomination deadline is March 31, 2025, and the award ceremony will take place during the closing plenary session on September 21.

To proceed, please submit a two-page curriculum vitae, a 500-word personal statement, and two letters of recommendation to awards@iscs2025-symposium.org by the stated deadline.

We look forward to your participation.

Sincerely,
Professor Eleanor Whitfield
Chair, ISCS 2025 Awards Committee
University of Edinburgh",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A colleague"
per-048,Dr. Antoine Moreau,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Gala is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

This nomination was submitted by the ISCS Selection Board, chaired by Professor Eleanor Hartwick of the University of Edinburgh, in coordination with the Academic Liaison Office under Director Marcus Oyelaran.

To confirm your nomination, please submit the following by August 1, 2025: a current curriculum vitae, a 300-word professional biography, and a signed consent form (Form ISCS-NOM-2025, attached).

For inquiries, contact the Nominations Secretariat at awards@iscs-symposium.org or +41 22 917 4400.

We look forward to celebrating your contributions to the scholarly community.

Warm regards,
Professor Helena Voss
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-049,Dr. Min-Jun Kang,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally nominated for the Distinguished Scholar Award in Applied Research.

This award, established in 2009 by the ISCS Foundation in partnership with the European Association for Scientific Advancement (EASA), recognizes outstanding contributions to the broader computational sciences community. Past recipients include luminaries from institutions such as ETH Zürich, MIT, and the University of Tokyo.

The nomination committee, chaired by Professor Helena Voss (Technical University of Munich) and co-chaired by Dr. Rajiv Anand (Stanford University), requests that you submit a brief professional biography and a list of representative publications no later than June 30, 2025, via our secure portal at submissions.iscs2025.org.

We sincerely hope you will accept this nomination.

Warm regards,
Dr. Marguerite Fontaine
Secretary-General, ISCS Program Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-050,Dr. Emma Radcliffe,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-051,Dr. Alice Zhang,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Hargrove Convention Centre in Edinburgh, Scotland, hosted jointly by the University of Edinburgh and the Meridian Institute for Advanced Studies. The selection committee, chaired by Professor Helena Voss of ETH Zurich, will review nominations through July 31, 2025.

Nominees are evaluated on scholarly impact, interdisciplinary contribution, and professional service. Should you accept this nomination, we kindly request submission of a two-page professional biography and a curriculum vitae to awards@iscs-symposium.org no later than August 15, 2025.

Please direct any inquiries to the Committee Secretariat, Ms. Adrienne Calloway, at +44 131 555 0192.

We look forward to your favorable response.

Sincerely,
Professor James Whitmore
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime?

Thanks for your time."
